Crisis Name,Crisis Num.,Actors,Trig Date,Term Date,Summary Link,Summary URL
E. AFRICA CAMPAIGN,82,UKG; ITA,8/19/40,5/17/41,E. AFRICA CAMPAIGN,https://drive.google.com/open?id=1lbKBzSg5r0qp2slOrOWGSHWSnen6mid_
BALKAN INVASIONS,83,GRC; YUG; UKG; TUR; ITA; GMY; YUG; GRC; UKG,10/28/40,6/1/41,BALKAN INVASIONS,https://drive.google.com/open?id=1TzGoJTRvstn0X0ClzKD7Q49OTllFccyI
MID-EAST CAMPAIGN,84,IRQ; UKG; GMY; VFR,4/29/41,7/14/41,MID-EAST CAMPAIGN,https://drive.google.com/open?id=10K0q9lEMG6Jgk05E2mKtT8MBoEM-AgtG
BARBAROSSA,85,RUS; RUS,6/22/41,12/5/41,BARBAROSSA,https://drive.google.com/open?id=17HpWE5mQ6bN-sxVcmeRHDOBknzn9PdC1
ECUADOR/PERU BDR II,86,ECU; PER,7/5/41,1/29/42,ECUADOR/PERU BDR II,https://drive.google.com/open?id=1mHMNYMyo-OSTcR1zqO5XXM5f5S6uHBCf
OCCUPATION OF IRAN,87,IRN,8/25/41,1/29/42,OCCUPATION OF IRAN,https://drive.google.com/open?id=1tyBLL7wfk0j0voc5Wer4IIuUoEsJqlea
PEARL HARBOR,88,JPN; UKG; NTH; AUL; NEW; CAN; USA; THI; GMY; ITA,11/26/41,6/7/42,PEARL HARBOR,https://drive.google.com/open?id=1MylOHiJxqRwmnya4okojx7g5nmuxHYPl
STALINGRAD,89,RUS; GMY,6/28/42,2/2/43,STALINGRAD,https://drive.google.com/open?id=1TH48hbyP3HgWD0loCF6c_yt3MQ5SPQro
EL ALAMEIN,90,GMY; ITA,10/23/42,5/13/43,EL ALAMEIN,https://drive.google.com/open?id=19zf-hUOGqjM32HTnzQg0Jf_8hVK7kzN4
FALL OF ITALY,91,ITA; GMY,7/9/43,9/11/43,FALL OF ITALY,https://drive.google.com/open?id=15T8Bo6d3JjxRZuU7eGrDgGrtpk_JhVaq
GERMAN OCCUP.-HUNGARY,92,HUN,3/13/44,3/19/44,GERMAN OCCUP.-HUNGARY,https://drive.google.com/open?id=1Wk0Rcr3PtovEYYy6LitE_Un2K16MRvQm
SOVIET OCCUP.-E. EUR,93,RUM; GMY; HUN; GMY,3/26/44,2/13/45,SOVIET OCCUP.-E. EUR,https://drive.google.com/open?id=1x8gWpAwkNKaal7HKjQv84tT2xKlxHQyl
D-DAY,94,GMY,6/6/44,5/7/45,D-DAY,https://drive.google.com/open?id=1rr2NMU8aSMhH2ztv1L1hMQhVDl6tx6fz
FALL OF SAIPAN,95,JPN,7/9/44,7/18/44,FALL OF SAIPAN,https://drive.google.com/open?id=1EOn0AyWZFSxY1gFEUmEjO9NDoKyQMV0c
IRAN-OIL CONCESSIONS,96,IRN,9/26/44,12/9/44,IRAN-OIL CONCESSIONS,https://drive.google.com/open?id=1ny9tFh_UYmLrVsUCXY4ZUTIxojd49L-3
LEYTE CAMPAIGN,97,JPN,10/20/44,12/26/44,LEYTE CAMPAIGN,https://drive.google.com/open?id=1HqxGCoino2UYJkw_w3rGbj-ruD-A0pQA
GREEK CIVIL WAR I,98,UKG,12/3/44,1/15/45,GREEK CIVIL WAR I,https://drive.google.com/open?id=1raC5934Q0q_G82fg15XA-BLS8tVX9RZG
LUZON,99,JPN,1/9/45,3/3/45,LUZON,https://drive.google.com/open?id=1IGZrXOJBOlGIrf8vGtX4WQW1-ZBOC02M
FINAL SOVIET OFFENS.,100,GMY,1/11/45,5/7/45,FINAL SOVIET OFFENS.,https://drive.google.com/open?id=14RWt-AdbH6RIEzgrY-gvdemMbf41l-XP
IWO JIMA,101,JPN,2/19/45,3/16/45,IWO JIMA,https://drive.google.com/open?id=1hTdQ4Zt9I8KYnyhMeQwz1TT8N2UxbKk5
COMMUNISM IN ROMANIA,102,RUS; RUM,2/24/45,3/6/45,COMMUNISM IN ROMANIA,https://drive.google.com/open?id=1HmCbhnFEaguUDwIRO_p06SAj_fJGFTQX
OKINAWA,103,JPN,4/1/45,6/21/45,OKINAWA,https://drive.google.com/open?id=1IiqvPSuOrKWHoWGPT3l5S5j5kMTwitvN
TRIESTE I,104,UKG; USA; YUG,5/1/45,6/11/45,TRIESTE I,https://drive.google.com/open?id=16kI0PyNUVqyesAXGdbZfecA_bLMEc3kN
FRENCH FORCES/SYRIA,105,SYR; FRN,5/17/45,6/3/45,FRENCH FORCES/SYRIA,https://drive.google.com/open?id=19rb4a9uG60x1uSQC6NaOtl-YkEW-078S
KARS-ARDAHAN,106,TUR,6/7/45,4/5/46,KARS-ARDAHAN,https://drive.google.com/open?id=1gqA0ADIDdgLFL34axgLELWHtAmjOZoM7
HIROSHIMA-NAGASAKI,107,JPN,8/6/45,9/2/45,HIROSHIMA-NAGASAKI,https://drive.google.com/open?id=1hQCvMz2dZqyfg8i-B-zmW53z0qoOSsUX
AZERBAIJAN,108,IRN; UKG; USA; RUS,8/23/45,5/9/46,AZERBAIJAN,https://drive.google.com/open?id=1AoHKUfNo72y3vjjVjZSM8okfNzNjS2Ae
INDONESIA INDEP. I,109,NTH; INS,9/29/45,3/25/47,INDONESIA INDEP. I,https://drive.google.com/open?id=1lZIb742LdE7lQYqtBPHGM4YmT7y1KXMf
COMMUNISM IN POLAND,110,RUS,6/30/46,1/19/47,COMMUNISM IN POLAND,https://drive.google.com/file/d/1pE6t3Vl4D8LaZB-ormOeu0JJmzqv15Md/view?usp=drive_link
TURKISH STRAITS,111,TUR; USA,8/7/46,10/26/46,TURKISH STRAITS,https://drive.google.com/open?id=1PFdltwUutyZqTHICcmK_Y9e8rcPDgKYd
GREEK CIVIL WAR II,112,GRC,11/13/46,2/28/47,GREEK CIVIL WAR II,https://drive.google.com/file/d/1g7k8XQlyLbXutKoQ5Cc79m-u0qLG2adc/view?usp=drive_link
COMMUNISM IN HUNGARY,113,RUS; HUN,2/10/47,6/1/47,COMMUNISM IN HUNGARY,https://drive.google.com/open?id=1X16EdL1iEA0hnDY7TVWRVhSFx6chixfI
